metric_id,sido,sigungu,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,PM10_연평균,PM10_봄,PM10_여름,PM10_가을,PM10_겨울,pre_outlier_cleaned_value,score_100
pm10,강원특별자치도,양양,19.0,18.0,32.0,48.0,21.0,21.0,13.0,11.0,11.0,12.0,16.0,20.0,20.17,33.67,15.0,13.0,19.0,20.17,92.5
pm10,강원특별자치도,속초,26.0,26.0,42.0,70.0,34.0,32.0,23.0,23.0,23.0,22.0,22.0,22.0,30.42,48.67,26.0,22.33,24.67,30.42,41.25
pm10,강원특별자치도,영월,30.0,22.0,44.0,44.0,25.0,26.0,22.0,23.0,11.0,13.0,17.0,26.0,25.25,37.67,23.67,13.67,26.0,25.25,67.1
pm10,강원특별자치도,철원,35.0,27.0,45.0,47.0,27.0,31.0,21.0,22.0,16.0,18.0,26.0,31.0,28.83,39.67,24.67,20.0,31.0,28.83,49.2
pm10,강원특별자치도,홍천,38.0,27.0,42.0,47.0,24.0,27.0,16.0,14.0,12.0,17.0,25.0,35.0,27.0,37.67,19.0,18.0,33.33,27.0,58.35
pm10,강원특별자치도,화천,37.0,27.0,43.0,48.0,23.0,26.0,18.0,18.0,13.0,15.0,21.0,26.0,26.25,38.0,20.67,16.33,30.0,26.25,62.1
pm10,강원특별자치도,태백,23.0,20.0,43.0,52.0,23.0,24.0,13.0,14.0,13.0,14.0,18.0,23.0,23.33,39.33,17.0,15.0,22.0,23.33,76.7
pm10,강원특별자치도,인제,28.0,20.0,38.0,43.0,21.0,26.0,16.0,15.0,11.0,13.0,17.0,25.0,22.75,34.0,19.0,13.67,24.33,22.75,79.6
pm10,강원특별자치도,도평균,29.0,24.0,42.0,51.0,26.0,27.0,18.0,19.0,15.0,17.0,22.0,27.0,26.42,39.67,21.33,18.0,26.67,26.42,61.25
pm10,충청북도,괴산,33.0,27.0,46.0,48.0,28.0,29.0,18.0,20.0,16.0,20.0,25.0,30.0,28.33,40.67,22.33,20.33,30.0,28.33,51.7
pm10,충청북도,음성,35.0,28.0,46.0,48.0,26.0,24.0,14.0,20.0,17.0,22.0,31.0,37.0,29.0,40.0,19.33,23.33,33.33,29.0,48.35
pm10,충청북도,청주,41.0,35.0,48.0,51.0,31.0,28.0,15.0,20.0,16.0,24.0,30.0,36.0,31.25,43.33,21.0,23.33,37.33,31.25,37.1
pm10,충청북도,충주,37.0,28.0,48.0,50.0,29.0,29.0,20.0,21.0,15.0,20.0,26.0,34.0,29.75,42.33,23.33,20.33,33.0,29.75,44.6
pm10,충청북도,제천,37.0,28.0,51.0,52.0,30.0,29.0,18.0,20.0,17.0,19.0,25.0,32.0,29.83,44.33,22.33,20.33,32.33,29.83,44.2
pm10,충청북도,단양,41.0,29.0,51.0,54.0,31.0,28.0,17.0,22.0,15.0,19.0,24.0,34.0,30.42,45.33,22.33,19.33,34.67,30.42,41.25
pm10,충청북도,진천,38.0,34.0,51.0,56.0,33.0,33.0,19.0,21.0,17.0,24.0,31.0,34.0,32.58,46.67,24.33,24.0,35.33,32.58,30.45
