metric_id,region,여름_평균최고기온,겨울_평균최저기온,여름_편차,겨울_편차,편차_합산,pre_outlier_cleaned_value,score_100
thermal_comfort,동두천,27.939999999999998,-0.4999999999999999,2.0600000000000023,4.5,6.560000000000002,6.560000000000002,77.58
thermal_comfort,동해,27.72,3.5142857142857147,2.280000000000001,8.514285714285714,10.794285714285715,10.794285714285715,47.31
thermal_comfort,목포,27.76,5.071428571428571,2.2399999999999984,10.071428571428571,12.31142857142857,12.31142857142857,36.47
thermal_comfort,문경,28.54,1.0142857142857147,1.4600000000000009,6.014285714285714,7.474285714285715,7.474285714285715,71.04
thermal_comfort,밀양,30.78,2.0142857142857147,0.7800000000000011,7.014285714285714,7.794285714285715,7.794285714285715,68.76
thermal_comfort,백령도,24.4,3.9142857142857146,5.600000000000001,8.914285714285715,14.514285714285716,14.514285714285716,20.73
thermal_comfort,보령,28.2,2.3714285714285714,1.8000000000000007,7.371428571428572,9.171428571428573,9.171428571428573,58.91
thermal_comfort,보성군,28.98,2.7,1.0199999999999996,7.7,8.719999999999999,8.719999999999999,62.14
thermal_comfort,보은,27.860000000000003,-0.37142857142857116,2.139999999999997,4.628571428571429,6.768571428571426,6.768571428571426,76.09
thermal_comfort,봉화,27.72,-2.5,2.280000000000001,2.5,4.780000000000001,4.780000000000001,90.3
thermal_comfort,부산,27.98,6.271428571428571,2.0199999999999996,11.271428571428572,13.291428571428572,13.291428571428572,29.47
thermal_comfort,부안,28.68,2.9,1.3200000000000003,7.9,9.22,9.22,58.57
thermal_comfort,부여,28.880000000000003,0.6714285714285716,1.1199999999999974,5.671428571428572,6.791428571428569,6.791428571428569,75.92
thermal_comfort,북강릉,28.22,2.628571428571429,1.7800000000000011,7.628571428571429,9.408571428571431,9.408571428571431,57.22
thermal_comfort,북부산,29.439999999999998,3.085714285714286,0.5600000000000023,8.085714285714285,8.645714285714288,8.645714285714288,62.67
thermal_comfort,북창원,30.28,5.028571428571429,0.28000000000000114,10.028571428571428,10.30857142857143,10.30857142857143,50.79
thermal_comfort,북춘천,28.54,-1.7714285714285716,1.4600000000000009,3.2285714285714286,4.6885714285714295,4.6885714285714295,90.95
thermal_comfort,산청,29.2,1.5428571428571427,0.8000000000000007,6.542857142857143,7.342857142857143,7.342857142857143,71.98
