metric_id,rank,sido,sigungu,population,wifi_count,raw_value,pre_outlier_cleaned_value,score_100
public_wifi,42,경상남도,남해군,39832.0,156,39.164490861618795,39.164490861618795,26.484419685070087
public_wifi,54,경상남도,밀양시,100691.0,342,33.96529977853036,33.96529977853036,22.870520026277692
public_wifi,38,경상남도,사천시,108504.0,433,39.90636289906362,39.90636289906362,27.000086653285628
public_wifi,62,경상남도,산청군,33259.0,105,31.570401996452087,31.570401996452087,21.2058533234809
public_wifi,202,경상남도,양산시,359531.0,154,4.283358041448443,4.283358041448443,2.238933804173163
public_wifi,74,경상남도,의령군,25150.0,70,27.833001988071572,27.833001988071572,18.608028315858014
public_wifi,180,경상남도,진주시,338785.0,216,6.375725017341382,6.375725017341382,3.693314722167084
public_wifi,83,경상남도,창녕군,56085.0,146,26.031915842025494,26.031915842025494,17.35611344975058
public_wifi,182,경상남도,창원시,999858.0,606,6.0608606422111935,6.0608606422111935,3.474456011328371
public_wifi,58,경상남도,통영시,118481.0,387,32.663465028147975,32.663465028147975,21.965629229800893
public_wifi,9,경상남도,하동군,40765.0,344,84.38611554029191,84.38611554029191,57.91746597718974
public_wifi,169,경상남도,함안군,58842.0,46,7.817545290778696,7.817545290778696,4.695507892401531
public_wifi,2,경상남도,함양군,36131.0,845,233.87119094406467,144.92878586951528,100.0
public_wifi,2,경상남도,합천군,40225.0,608,151.1497824735861,144.92878586951528,100.0
public_wifi,218,경상북도,경산시,266398.0,57,2.1396557031208943,2.1396557031208943,0.7488702490494257
public_wifi,12,경상북도,경주시,244769.0,1881,76.84796685854826,76.84796685854826,52.67778301237412
public_wifi,55,경상북도,고령군,30062.0,102,33.92987825161333,33.92987825161333,22.845898918495035
public_wifi,111,경상북도,구미시,404820.0,786,19.41603675707722,19.41603675707722,12.757489782027298
public_wifi,78,경상북도,김천시,135446.0,368,27.16949928384744,27.16949928384744,18.14683499595813
public_wifi,172,경상북도,문경시,67257.0,50,7.4341704209227295,7.4341704209227295,4.429028301784321
public_wifi,110,경상북도,봉화군,28836.0,56,19.420169232903316,19.420169232903316,12.760362219823723
public_wifi,31,경상북도,상주시,91850.0,468,50.95264017419706,50.95264017419706,34.678230625600925
public_wifi,6,경상북도,성주군,41452.0,432,104.21692560069478,104.21692560069478,71.70164058542422
public_wifi,66,경상북도,안동시,153159.0,466,30.425897270157154,30.425897270157154,20.410320869731073
public_wifi,93,경상북도,영덕군,33210.0,78,23.486901535682026,23.486901535682026,15.587102427394973
public_wifi,82,경상북도,영양군,15328.0,40,26.096033402922757,26.096033402922757,17.40068085028389
public_wifi,122,경상북도,영주시,98870.0,169,17.093152624658643,17.093152624658643,11.142878962881344
public_wifi,23,경상북도,영천시,98143.0,571,58.1804102177435,58.1804102177435,39.702172865224526
public_wifi,89,경상북도,예천군,54609.0,131,23.98871980809024,23.98871980809024,15.935910704384588
public_wifi,25,경상북도,울릉군,9099.0,52,57.14913726783163,57.14913726783163,38.98534655469884
public_wifi,125,경상북도,울진군,46124.0,71,15.393287659353048,15.393287659353048,9.961321809097743
public_wifi,67,경상북도,의성군,48690.0,148,30.396385294721707,30.396385294721707,20.3898074251871
public_wifi,129,경상북도,청도군,40582.0,59,14.53846532945641,14.53846532945641,9.367144353995151
public_wifi,20,경상북도,청송군,23716.0,155,65.35672120087705,65.35672120087705,44.69034648663503
public_wifi,206,경상북도,칠곡군,107383.0,41,3.818109011668514,3.818109011668514,1.9155443993397459
public_wifi,177,경상북도,포항시,491581.0,327,6.652006485197759,6.652006485197759,3.885354885042522
public_wifi,99,광주광역시,광산구,391611.0,840,21.449857128630196,21.449857128630196,14.171175609176057
public_wifi,198,광주광역시,남구,207597.0,100,4.81702529419982,4.81702529419982,2.6098799517191065
public_wifi,157,광주광역시,동구,106203.0,97,9.133451974049697,9.133451974049697,5.6101799322779335
public_wifi,193,광주광역시,북구,423961.0,224,5.28350485068202,5.28350485068202,2.934124681921106
public_wifi,95,광주광역시,서구,279050.0,610,21.85988174162336,21.85988174162336,14.456179138631311
public_wifi,162,대구광역시,군위군,22463.0,19,8.458353737256822,8.458353737256822,5.140926687185072
public_wifi,128,대구광역시,남구,136263.0,202,14.824273647285029,14.824273647285029,9.565806523893189
public_wifi,216,대구광역시,달서구,522021.0,117,2.2412891435402025,2.2412891435402025,0.8195145184720173
public_wifi,214,대구광역시,달성군,257580.0,69,2.6787794083391567,2.6787794083391567,1.123609115769018
public_wifi,220,대구광역시,동구,342339.0,47,1.3729081407610586,1.3729081407610586,0.21591258126813204
public_wifi,209,대구광역시,북구,413010.0,126,3.050773589017215,3.050773589017215,1.3821781164349096
public_wifi,181,대구광역시,서구,163135.0,103,6.313789192999662,6.313789192999662,3.650263822348529
public_wifi,222,대구광역시,수성구,409107.0,53,1.2955045990413265,1.2955045990413265,0.1621102438391146
public_wifi,194,대구광역시,중구,97711.0,51,5.219473754234426,5.219473754234426,2.88961738186115
public_wifi,175,대전광역시,대덕구,168217.0,118,7.0147488066009975,7.0147488066009975,4.137493021648575
public_wifi,215,대전광역시,동구,218513.0,57,2.6085404529707614,2.6085404529707614,1.0747868023007865
public_wifi,97,대전광역시,서구,457951.0,986,21.53068778100714,21.53068778100714,14.22736009294992
public_wifi,210,대전광역시,유성구,369468.0,111,3.0043197245769595,3.0043197245769595,1.3498885540458114
public_wifi,185,대전광역시,중구,225008.0,132,5.8664580814904355,5.8664580814904355,3.339328962402947
public_wifi,173,부산광역시,강서구,142789.0,105,7.353507623136236,7.353507623136236,4.372960491861727
public_wifi,183,부산광역시,금정구,209932.0,126,6.001943486462283,6.001943486462283,3.433503354337059
public_wifi,192,부산광역시,기장군,175626.0,93,5.295343514058283,5.295343514058283,2.9423536046231775
public_wifi,184,부산광역시,남구,254498.0,150,5.893955944643966,5.893955944643966,3.3584424199927834
public_wifi,84,부산광역시,동구,85911.0,222,25.84069560358976,25.84069560358976,17.22319839750622
public_wifi,197,부산광역시,동래구,274370.0,137,4.993257280314904,4.993257280314904,2.7323768371598476
public_wifi,211,부산광역시,부산진구,359281.0,103,2.8668368213181323,2.8668368213181323,1.2543257233599032
public_wifi,200,부산광역시,북구,267692.0,120,4.482763773291693,4.482763773291693,2.3775385014718626
public_wifi,190,부산광역시,사상구,198635.0,108,5.437108263901124,5.437108263901124,3.0408926990512097
public_wifi,195,부산광역시,사하구,292491.0,151,5.162552010147321,5.162552010147321,2.8500517132317795
public_wifi,155,부산광역시,서구,103188.0,96,9.303407372950343,9.303407372950343,5.7283140320410295
public_wifi,91,부산광역시,수영구,171918.0,405,23.55774264474924,23.55774264474924,15.636343291174576
public_wifi,205,부산광역시,연제구,212589.0,85,3.9983254072412024,3.9983254072412024,2.0408108032977355
public_wifi,148,부산광역시,영도구,103737.0,110,10.603738299738762,10.603738299738762,6.632159537531932
public_wifi,64,부산광역시,중구,37537.0,115,30.636438713802384,30.636438713802384,20.55666587594292
public_wifi,137,부산광역시,해운대구,376404.0,503,13.363301133888056,13.363301133888056,8.55030084554946
public_wifi,126,서울특별시,강남구,557345.0,849,15.232934717275654,15.232934717275654,9.84986226983503
public_wifi,90,서울특별시,강동구,476942.0,1134,23.77647596563104,23.77647596563104,15.788382379769045
public_wifi,149,서울특별시,강북구,283597.0,295,10.402084648286124,10.402084648286124,6.491992336416865
public_wifi,59,서울특별시,강서구,556171.0,1794,32.25626650796248,32.25626650796248,21.682590085895264
public_wifi,208,서울특별시,관악구,477812.0,151,3.160238754991503,3.160238754991503,1.4582661308283218
public_wifi,70,서울특별시,광진구,331963.0,978,29.461114642294472,29.461114642294472,19.739711239517092
public_wifi,92,서울특별시,구로구,388169.0,913,23.52068300147616,23.52068300147616,15.610583547006836
public_wifi,201,서울특별시,금천구,225159.0,97,4.30806674394539,4.30806674394539,2.2561085473391476
public_wifi,81,서울특별시,노원구,491247.0,1288,26.21898963250666,26.21898963250666,17.486146352328046
public_wifi,133,서울특별시,동대문구,338735.0,478,14.11132596277326,14.11132596277326,9.070244550382608
public_wifi,96,서울특별시,동작구,375456.0,820,21.84010909400835,21.84010909400835,14.442435392089326
public_wifi,77,서울특별시,마포구,361417.0,995,27.53052568086172,27.53052568086172,18.397780412684366
public_wifi,170,서울특별시,서대문구,302853.0,231,7.627462828500955,7.627462828500955,4.563383695658239
public_wifi,87,서울특별시,서초구,408376.0,1026,25.123905420494836,25.123905420494836,16.724965546142403
public_wifi,52,서울특별시,성동구,273669.0,968,35.37119659150287,35.37119659150287,23.847743200325873
public_wifi,212,서울특별시,성북구,421560.0,118,2.799127051902458,2.799127051902458,1.2072614188021908
public_wifi,109,서울특별시,송파구,650110.0,1276,19.627447662703233,19.627447662703233,12.904439141552087
public_wifi,153,서울특별시,양천구,430976.0,414,9.606103356103356,9.606103356103356,5.938714629509491
public_wifi,174,서울특별시,영등포구,373773.0,271,7.250389942558718,7.250389942558718,4.301284543680729
public_wifi,39,서울특별시,용산구,203854.0,813,39.88148380703837,39.88148380703837,26.982793474261378
public_wifi,104,서울특별시,은평구,460919.0,944,20.480822009941008,20.480822009941008,13.497610120079157
public_wifi,132,서울특별시,종로구,138336.0,198,14.312977099236642,14.312977099236642,9.210410003356733
public_wifi,118,서울특별시,중구,120544.0,218,18.084682771436157,18.084682771436157,11.83208049478447
public_wifi,98,서울특별시,중랑구,379274.0,815,21.488422617949027,21.488422617949027,14.197982050113344
public_wifi,178,울산광역시,남구,304885.0,196,6.428653426701871,6.428653426701871,3.7301046684243917
public_wifi,145,울산광역시,동구,150836.0,169,11.204221803813414,11.204221803813414,7.049548915188114
public_wifi,144,울산광역시,북구,216522.0,245,11.3152474113485,11.3152474113485,7.126721575083876
public_wifi,217,울산광역시,울주군,218806.0,49,2.239426706763069,2.239426706763069,0.818219959467387
public_wifi,219,울산광역시,중구,207000.0,31,1.497584541062802,1.497584541062802,0.30257375476789244
public_wifi,40,인천광역시,강화군,69402.0,276,39.76830638886488,39.76830638886488,26.90412511482166
public_wifi,171,인천광역시,계양구,280227.0,213,7.6009806335577945,7.6009806335577945,4.544976217698742
public_wifi,134,인천광역시,남동구,486225.0,684,14.067561314206387,14.067561314206387,9.039824231914714
public_wifi,102,인천광역시,동구,58296.0,123,21.09921778509675,21.09921778509675,13.92745011732474
public_wifi,164,인천광역시,미추홀구,412274.0,344,8.343965421054929,8.343965421054929,5.0614166460487695
public_wifi,158,인천광역시,부평구,493200.0,436,8.840227088402271,8.840227088402271,5.406362588915129
public_wifi,114,인천광역시,서구,634064.0,1178,18.578566201519088,18.578566201519088,12.175373351487805
public_wifi,203,인천광역시,연수구,400213.0,168,4.197764690302415,4.197764690302415,2.1794388216733505
public_wifi,21,인천광역시,옹진군,19996.0,123,61.5123024604921,61.5123024604921,42.01813395355012
public_wifi,61,전라남도,강진군,32189.0,102,31.687843673304545,31.687843673304545,21.287485721506357
public_wifi,119,전라남도,고흥군,60190.0,105,17.44475826549261,17.44475826549261,11.387276117194924
public_wifi,5,전라남도,곡성군,26566.0,323,121.58397952269819,121.58397952269819,83.77328581637326
public_wifi,168,전라남도,광양시,154692.0,121,7.821994673286272,7.821994673286272,4.69860060849313
public_wifi,101,전라남도,구례군,24025.0,51,21.227887617065555,21.227887617065555,14.016887080578785
public_wifi,123,전라남도,나주시,116654.0,196,16.80182419805579,16.80182419805579,10.940379827021314
public_wifi,108,전라남도,담양군,44623.0,89,19.944871478833782,19.944871478833782,13.125076891247057
public_wifi,34,전라남도,목포시,209890.0,980,46.691123922054416,46.691123922054416,31.71609827011762
public_wifi,135,전라남도,무안군,92687.0,129,13.917809401534196,13.917809401534196,8.935733349802327
public_wifi,2,전라남도,보성군,37045.0,805,217.30327979484412,144.92878586951528,100.0
public_wifi,103,전라남도,순천시,276329.0,573,20.736151471615354,20.736151471615354,13.67508677744341
public_wifi,105,전라남도,신안군,38173.0,78,20.433290545673646,20.433290545673646,13.46457153008456
public_wifi,37,전라남도,여수시,267816.0,1140,42.56653822027064,42.56653822027064,28.849144810987976
public_wifi,154,전라남도,영광군,52098.0,49,9.405351453030827,9.405351453030827,5.79917422362297
public_wifi,152,전라남도,영암군,51391.0,51,9.92391663910023,9.92391663910023,6.159623093273788
public_wifi,80,전라남도,완도군,45631.0,121,26.51706077009051,26.51706077009051,17.69333227129032
public_wifi,14,전라남도,장성군,42026.0,310,73.76386046732975,73.76386046732975,50.53405510224638
public_wifi,16,전라남도,장흥군,34451.0,240,69.66416069199734,69.66416069199734,47.684399572674245
public_wifi,69,전라남도,진도군,28478.0,85,29.847601657419762,29.847601657419762,20.008354047555468
public_wifi,27,전라남도,함평군,30010.0,164,54.6484505164945,54.6484505164945,37.24714712079083
public_wifi,17,전라남도,해남군,63120.0,421,66.69835234474019,66.69835234474019,45.622899311785694
public_wifi,7,전라남도,화순군,60735.0,579,95.3321807853791,95.3321807853791,65.52595368655886
public_wifi,65,전북특별자치도,고창군,50982.0,156,30.599034953513005,30.599034953513005,20.530666939880152
public_wifi,130,전북특별자치도,군산시,258047.0,375,14.53223637554399,14.53223637554399,9.362814677693784
public_wifi,86,전북특별자치도,김제시,80635.0,204,25.299187697649902,25.299187697649902,16.846802299491113
public_wifi,4,전북특별자치도,무주군,23032.0,283,122.87252518235498,122.87252518235498,84.66893951429542
public_wifi,117,전북특별자치도,부안군,48066.0,88,18.30815961386427,18.30815961386427,11.987416752231507
public_wifi,127,전북특별자치도,순창군,26822.0,40,14.91313101185594,14.91313101185594,9.627570285673078
public_wifi,88,전북특별자치도,완주군,99279.0,246,24.778654096032394,24.778654096032394,16.484985206175505
public_wifi,156,전북특별자치도,익산시,268001.0,248,9.253696814564124,9.253696814564124,5.693760778059909
public_wifi,120,전북특별자치도,임실군,25577.0,44,17.20295578058412,17.20295578058412,11.219201910315252
public_wifi,11,전북특별자치도,장수군,20663.0,159,76.94913613705658,76.94913613705658,52.74810464803602
public_wifi,221,전북특별자치도,전주시,635651.0,85,1.3372117718685255,1.3372117718685255,0.19110043389765644
public_wifi,60,전북특별자치도,정읍시,102127.0,325,31.823122190997484,31.823122190997484,21.38151630840336
